Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Permalink,Rep Label,File Label
Sidetrack Theatre Collection,81284603340002171,99245209220302171,Mesh 1980 6,No,http://hdl.handle.net/1959.14/94012,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220302171,Mesh 1980 6,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209220402171,Loco 12,No,http://hdl.handle.net/1959.14/93881,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220402171,Loco 12,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209220502171,Measure Slide 4,No,http://hdl.handle.net/1959.14/96185,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220502171,Measure Slide 4,JPEG 2000 Image (53)
Sidetrack Theatre Collection,81284603340002171,99245209220602171,Adios Cha Cha Teachers' Kit,No,http://hdl.handle.net/1959.14/15625,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220602171,Adios Cha Cha Teachers' Kit,Teachers' Kit
Sidetrack Theatre Collection,81284603340002171,99245209220702171,Drunken MediaRelease,No,http://hdl.handle.net/1959.14/95784,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220702171,Drunken MediaRelease,Text
Sidetrack Theatre Collection,81284603340002171,99245209220802171,FXDownUnder Teachers Invite,No,http://hdl.handle.net/1959.14/93700,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220802171,FXDownUnder Teachers Invite,Text
Sidetrack Theatre Collection,81284603340002171,99245209220902171,Whispers Photo 3,No,http://hdl.handle.net/1959.14/95301,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220902171,Whispers Photo 3,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221002171,Woman Enmore Floor Plan,No,http://hdl.handle.net/1959.14/97405,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221002171,Woman Enmore Floor Plan,Other
Sidetrack Theatre Collection,81284603340002171,99245209221102171,Whispers Photo 5,No,http://hdl.handle.net/1959.14/95360,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221102171,Whispers Photo 5,JPEG 2000 Image (52)
Sidetrack Theatre Collection,81284603340002171,99245209221202171,Measure Poster,No,http://hdl.handle.net/1959.14/96065,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221202171,Measure Poster,Other (17)
Sidetrack Theatre Collection,81284603340002171,99245209221302171,Woman Photo 2,No,http://hdl.handle.net/1959.14/97548,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221302171,Woman Photo 2,JPEG 2000 Image (51)
Sidetrack Theatre Collection,81284603340002171,99245209221402171,Loco Booklet,No,http://hdl.handle.net/1959.14/93751,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221402171,Loco Booklet,Text
Sidetrack Theatre Collection,81284603340002171,99245209221502171,DownUnder Poster 1,No,http://hdl.handle.net/1959.14/69491,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221502171,DownUnder Poster 1,Poster
Sidetrack Theatre Collection,81284603340002171,99245209221602171,Mesh 1982 Tour 15,No,http://hdl.handle.net/1959.14/94333,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221602171,Mesh 1982 Tour 15,JPEG 2000 Image (50)
Sidetrack Theatre Collection,81284603340002171,99245209221702171,FXDownUnder Photo 4,No,http://hdl.handle.net/1959.14/93724,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221702171,FXDownUnder Photo 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221802171,Mesh 1980 9,No,http://hdl.handle.net/1959.14/94034,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221802171,Mesh 1980 9,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221902171,Adios Cha Cha Review,No,http://hdl.handle.net/1959.14/12565,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221902171,Adios Cha Cha Review,Adobe Acrobat PDF
