Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Rep Label,File Label,Permalink
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521302171,The role of academia in the development of the World Federation of Chiropractic.,No,http://hdl.handle.net/1959.14/302641,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521302171
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521402171,Maintaining and developing chiropractic clinical competencies : a regulatory approach.,No,http://hdl.handle.net/1959.14/302727,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521402171
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521502171,The current standard of chiropractic education in Australia.,No,http://hdl.handle.net/1959.14/302725,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521502171
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521602171,Research in education and developing academic capacity.,No,http://hdl.handle.net/1959.14/302716,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521602171
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521702171,Academic leadership in higher education.,No,http://hdl.handle.net/1959.14/302739,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521702171
Chiropractic Education Colloquium 2014 Collection,81271192420002171,99245128521802171,The relationship between chiropractic legislation and educational standards in Australia.,No,http://hdl.handle.net/1959.14/302620,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245128521802171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424102171,The Impact of mandatory conversion to IFRS on the net income of FTSEurofirst 80 firms.,No,http://hdl.handle.net/1959.14/98542,The Impact of mandatory conversion to IFRS on the net income of FTSEurofirst 80 firms,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424102171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424202171,"Leases, debt and value.",No,http://hdl.handle.net/1959.14/98575,"Leases, debt and value",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424202171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424302171,Information lost : a descriptive analysis of IFRS firms' 20-F reconciliations.,No,http://hdl.handle.net/1959.14/98352,Information lost : a descriptive analysis of IFRS firms' 20-F reconciliations,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424302171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424402171,Negative goodwill : issues of financial reporting and analysis under current and proposed guidelines.,No,http://hdl.handle.net/1959.14/98339,Negative goodwill : issues of financial reporting and analysis under current and proposed guidelines,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424402171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424502171,The non-designation of derivatives as hedges for accounting purposes.,No,http://hdl.handle.net/1959.14/98543,The Non-designation of derivatives as hedges for accounting purposes,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424502171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424602171,An empirical evaluation of sampling controversies in ratio-based modelling of corporate collapse.,No,http://hdl.handle.net/1959.14/98322,An Empirical evaluation of sampling controversies in ratio-based modelling of corporate collapse,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424602171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424702171,Old wine in new bottles : subprime mortgage crisis - causes and consequences.,No,http://hdl.handle.net/1959.14/98338,Old wine in new bottles : subprime mortgage crisis - causes and consequences,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424702171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424802171,Defaults and returns in the high yield bond market : the year 2005 in review and market outlook.,No,http://hdl.handle.net/1959.14/97829,Defaults and returns in the high yield bond market : the year 2005 in review and market outlook,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424802171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130424902171,The effects of lease capitalization on various financial measures : an analysis of the retail industry.,No,http://hdl.handle.net/1959.14/98317,The Effects of lease capitalization on various financial measures : an analysis of the retail industry,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130424902171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425002171,AIFRS - a practitioner's viewpoint.,No,http://hdl.handle.net/1959.14/98288,AIFRS - a practitioner's viewpoint,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425002171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425102171,Can global standards be principle based?,No,http://hdl.handle.net/1959.14/97901,Can global standards be principle based?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425102171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425202171,Taxation as a driver for designing hybrid securities.,No,http://hdl.handle.net/1959.14/97035,Taxation as a driver for designing hybrid securities,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425202171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425302171,Pre and post tax discount rates and cash flows - a technical note.,No,http://hdl.handle.net/1959.14/98570,Pre and post tax discount rates and cash flows - a technical note,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425302171
